OBJECTID,tractce,geoid,intptlat,intptlon,disability_mental,disability_physical,disability_total,gender_female,gender_trans,gender_total,race_eth_origin_african,race_eth_origin_african_america,race_eth_origin_american,race_eth_origin_american_indian,race_eth_origin_armenian,race_eth_origin_api,race_eth_origin_azerbaijani,race_eth_origin_canadian,race_eth_origin_croatian,race_eth_origin_danish,race_eth_origin_ethiopian,race_eth_origin_french,race_eth_origin_german,race_eth_origin_jamaican,race_eth_origin_latino,race_eth_origin_middle_easterne,race_eth_origin_multi_racial,race_eth_origin_nonwhite,race_eth_origin_other,race_eth_origin_portuguese,race_eth_origin_romani_gypsy,race_eth_origin_russian,race_eth_origin_serbian,race_eth_origin_turkish,race_eth_origin_unknown,race_eth_origin_white,race_eth_origin_total,religion_atheist_agnostic,religion_buddhist,religion_catholic,religion_christian,religion_hindu,religion_jehovahs_witness,religion_jewish,religion_mormon_lds,religion_muslim,religion_other,religion_other_christian,religion_protestant,religion_scientologist,religion_sikh,religion_unknown,religion_total,sept11_middle_east_conflict_arm,sept11_middle_east_conflict_dan,sept11_middle_east_conflict_jew,sept11_middle_east_conflict_mid,sept11_middle_east_conflict_mus,sept11_middle_east_conflict_unk,sept11_middle_east_conflict_tot,sexual_orientation_bisexual,sexual_orientation_gay_male,sexual_orientation_heterosexual,sexual_orientation_lesbian,sexual_orientation_lgbt_not_spe,sexual_orientation_total,unknown_total,blank_total,tract_total,SHAPE_Length,SHAPE_Area
49,501803,06037501803,+33.9717390,-118.0408537,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,11123.2711884173,6377300.57998341
50,405701,06037405701,+34.0937632,-117.9211251,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14635.8749961802,11231002.6405563
51,405702,06037405702,+34.0921972,-117.9121014,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,1,,,6,16459.9918851834,14824383.4826251
52,117407,06037117407,+34.2301059,-118.4703116,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5893.74273842568,2134618.85590008
53,920337,06037920337,+34.3736616,-118.5128742,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21844.2948722323,17737944.0089067
54,125402,06037125402,+34.1566827,-118.3740062,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11089.7267321408,7494482.9791058
55,670201,06037670201,+33.7799678,-118.3390307,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,1,,,,1,,,3,51606.5439908973,52594589.3203218
56,552301,06037552301,+33.9126424,-118.0648508,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,7,17382.4999216967,13446807.5732024
57,208302,06037208302,+34.0634788,-118.2624816,,,,,,,,5,,1,,,,,,,,,,,3,,,,,,,,,,,,9,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,1,,,11,9852.78042026742,4735666.57018407
58,533804,06037533804,+33.9752181,-118.1791444,,,,1,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11133.0822211975,5492985.88357936
59,211201,06037211201,+34.0745294,-118.2984693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,2,4915.79781077348,1500115.66345485
60,212502,06037212502,+34.0586417,-118.3069674,,,,,1,1,,2,,,,1,,,,,,,,,1,,,,,,,,,,,,4,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,6,8256.68330655474,3068569.80269227
61,215101,06037215101,+34.0636762,-118.3535529,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,,,6,10307.7299871054,3821158.43011705
62,217001,06037217001,+34.0523836,-118.3870300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,4,,,,,,,,,1,,,,1,,,5,10940.7936166339,5904316.17380867
63,531504,06037531504,+34.0282174,-118.1673915,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10726.4224998723,5411952.68848798
64,573100,06037573100,+33.7998434,-118.1975090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,14981.5346389595,12839054.5366551
65,573201,06037573201,+33.8006191,-118.1853182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,10362.409286412,6477674.96215314
66,573300,06037573300,+33.7932911,-118.1757078,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13252.3950579632,8469112.48589662
67,222002,06037222002,+34.0218914,-118.3132782,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,2,10841.9180355437,7057896.48806338
68,402001,06037402001,+34.0873245,-117.7243425,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18566.4243218767,15701036.0059315
69,535002,06037535002,+33.9711665,-118.2465194,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9325.696191519,5201856.1822337
70,541605,06037541605,+33.8993431,-118.2100244,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14018.8142557984,9340501.68179729
71,541801,06037541801,+33.9118044,-118.1946754,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,12246.7027010073,7695960.5812507
72,575001,06037575001,+33.7947139,-118.1470968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,2,15600.886646291,10140548.9430303
73,542800,06037542800,+33.8995257,-118.2473437,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11687.5896342236,8358113.76099914
74,604100,06037604100,+33.8815498,-118.3482460,,,,1,,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,7,13938.686524902,10968074.5839963
75,543202,06037543202,+33.8797798,-118.2296785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29891.2256996731,33268222.8607914
76,543304,06037543304,+33.8522481,-118.2413562,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,16704.7259820406,17333054.0870258
77,651222,06037651222,+33.8120550,-118.3581565,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18095.5792588144,16464084.403128
78,533602,06037533602,+33.9771928,-118.1965167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,14354.269039717,7547774.51815629
79,910805,06037910805,+34.4705186,-118.2228302,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,2,,,,,,,,,1,,,1,2,1,,7,197863.285749261,1185497453.4676
80,211121,06037211121,+34.0730100,-118.2854106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7588.94333994461,2302581.12762345
81,463000,06037463000,+34.1551570,-118.0752073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,1,,,2,18108.5787657127,19554149.1306795
82,262400,06037262400,+34.0918093,-118.5086270,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,75093.0314991845,121292178.079182
83,209402,06037209402,+34.0546619,-118.2772210,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,4,4849.91368301447,1466391.25050429
84,480901,06037480901,+34.0869807,-118.1401610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,12999.1003984199,10240590.0538244
85,189800,06037189800,+34.0982924,-118.3590366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,4,,,,,,,,,4,,,,,,,,,2,,,,2,,1,8,12683.0480553102,7854607.15179677
86,143901,06037143901,+34.1321312,-118.4000525,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,3,,,,,,,2,,1,,,,,,,3,,,,,,,,,2,,,,2,,,8,42046.8520520551,56976928.6517667
87,123010,06037123010,+34.2027436,-118.3745717,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13636.3942334718,10933727.9539745
