OBJECTID,Variable_Num,Variable,CSA,Summary_Level,Rate_per_1000_Children,Race_Sort,SHAPE_Length,SHAPE_Area
3587,2,Investigations,Unincorporated - Pellissier Village,Total,0,,0.0485633434938719,7.97501190024993e-05
3593,2,Investigations,Unincorporated - Pomona,Total,36,1,0.129538336196805,0.00029797655630624
3599,2,Investigations,Unincorporated - Quartz Hill,Total,75,1,0.290102154324187,0.00103816282264018
3605,2,Investigations,Unincorporated - Rancho Dominguez,Total,68,1,0.12437294273619,0.000681503739245794
3611,2,Investigations,Unincorporated - Roosevelt,Total,72,1,0.541628484967815,0.0141634559041913
3617,2,Investigations,Unincorporated - Rosewood,Total,35,1,0.0233508970736606,2.64490875554815e-05
3623,2,Investigations,Unincorporated - Rosewood/East Gardena,Total,71,1,0.0643779660852807,0.000252707917485968
3629,2,Investigations,Unincorporated - Rosewood/West Rancho Dominguez,Total,63,1,0.0479068329661316,0.000117062494166081
3635,2,Investigations,Unincorporated - Rowland Heights,Total,38,1,0.516535188943005,0.00478647895987791
3641,2,Investigations,Unincorporated - San Francisquito Canyon/Bouquet Canyon,Total,0,,0.863155977687733,0.0158943568968908
3647,2,Investigations,Unincorporated - San Jose Hills,Total,38,1,0.138147283308622,0.000381325726814032
3653,2,Investigations,Unincorporated - San Pasqual,Total,0,,0.0435098026837972,6.4799798491402e-05
3659,2,Investigations,Unincorporated - Santa Monica Mountains,Total,10,1,1.48492153216469,0.0287520655979736
3665,2,Investigations,Unincorporated - Saugus,Total,0,,0.158195883680332,0.000481302608352729
3671,2,Investigations,Unincorporated - Saugus/Canyon Country,Total,0,,0.213870314502525,0.0012380844357767
3677,2,Investigations,Unincorporated - South Antelope Valley,Total,0,,0.340504866821923,0.00285797450910683
3683,2,Investigations,Unincorporated - South El Monte,Total,0,,0.0269231175961076,3.28892494036896e-05
3689,2,Investigations,Unincorporated - South San Gabriel,Total,17,1,0.174441698536934,0.000358376430697878
3695,2,Investigations,Unincorporated - South Whittier,Total,39,1,0.238222989843543,0.00135113885573707
3701,2,Investigations,Unincorporated - Southeast Antelope Valley,Total,0,,0.205115311265505,0.00111382184095603
3707,2,Investigations,Unincorporated - Stevenson Ranch,Total,15,1,0.5470073254955,0.0108599632444166
3713,2,Investigations,Unincorporated - Sun Village,Total,54,1,0.272398828597837,0.00283478744738399
3719,2,Investigations,Unincorporated - Sunrise Village,Total,0,,0.0240717175189222,2.89577905046769e-05
3725,2,Investigations,Unincorporated - Twin Lakes/Oat Mountain,Total,0,,0.412212951950637,0.00506556173656181
3731,2,Investigations,Unincorporated - Val Verde,Total,39,1,0.325927386867487,0.00459093158790009
3737,2,Investigations,Unincorporated - Valencia,Total,0,,0.0697962072296177,0.00017024297136003
3743,2,Investigations,Unincorporated - Valinda,Total,40,1,0.16265655113886,0.000512999765628884
3749,2,Investigations,Unincorporated - View Park/Windsor Hills,Total,29,1,0.110428329410128,0.000468259938200585
3755,2,Investigations,Unincorporated - Walnut Park,Total,46,1,0.0725441791695453,0.000189106719601764
3761,2,Investigations,Unincorporated - West Antelope Valley,Total,0,,1.76370705743916,0.0587422789207006
3767,2,Investigations,Unincorporated - West Carson,Total,19,1,0.166267401370902,0.000625372560857292
3773,2,Investigations,Unincorporated - West LA,Total,0,,0.0880150163677578,0.000228081343773041
3779,2,Investigations,Unincorporated - West Puente Valley,Total,40,1,0.0783793987534458,0.00019975546610438
3785,2,Investigations,Unincorporated - West Rancho Dominguez,Total,59,1,0.0310726994472164,4.63439213520285e-05
3791,2,Investigations,Unincorporated - West Whittier/Los Nietos,Total,36,1,0.223709444208896,0.000656099518354901
3797,2,Investigations,Unincorporated - Westfield/Academy Hills,Total,0,,0.0540133971563723,0.000131931471180989
3803,2,Investigations,Unincorporated - Westhills,Total,0,,0.0357876192216137,5.62528743745936e-05
3809,2,Investigations,Unincorporated - White Fence Farms,Total,63,1,0.204533491857316,0.00146417897291319
3815,2,Investigations,Unincorporated - Whittier,Total,23,1,0.275006458393404,0.00121302514148134
3821,2,Investigations,Unincorporated - Whittier Narrows,Total,0,,0.22249327034737,0.000752435061069071
3827,2,Investigations,Unincorporated - Willowbrook,Total,63,1,0.217665414382678,0.000870851339451289
3833,2,Investigations,Unincorporated - Wiseburn,Total,20,1,0.0535564211014082,0.000116861302360609
